,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,lolita1961,"2022-11-30 08:54:41",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/227696139,https://shopee.ph/p-i.56858906.18458882319,,
2,,ey2david,"2022-12-01 01:59:11",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/1072965,https://shopee.ph/p-i.56858906.18458882319,,
3,,c*****v,"2023-01-05 03:14:27",5,5,5,5,"Performance:10
Quality:10
Suitability:10

The best quality...",8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/274279284,https://shopee.ph/p-i.56858906.18458882319,,
4,,reatandmd,"2023-04-12 15:13:16",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/243132063,https://shopee.ph/p-i.56858906.18458882319,,
5,,g*****r,"2023-04-26 08:42:01",5,5,5,5,"Good packaging thank you",8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/124265271,https://shopee.ph/p-i.56858906.18458882319,,
6,,bettinahackh,"2023-05-02 09:29:40",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/34750512,https://shopee.ph/p-i.56858906.18458882319,,
7,,molmolhouse,"2023-05-07 02:20:25",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/1224474,https://shopee.ph/p-i.56858906.18458882319,,
8,,ynoemisshu,"2023-07-02 01:00:50",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/654567926,https://shopee.ph/p-i.56858906.18458882319,,
9,,emelan,"2023-07-08 04:54:09",5,5,5,5,"Quality:I already use the product and surely will order again",8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/63233780,https://shopee.ph/p-i.56858906.18458882319,,
10,,remedios54,"2023-07-18 02:13:50",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/91768441,https://shopee.ph/p-i.56858906.18458882319,,
11,,mhelcresandacao,"2023-08-19 02:59:38",4,5,4,4,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/214033342,https://shopee.ph/p-i.56858906.18458882319,,
12,,syuuanchu,"2023-09-05 06:21:56",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/223029664,https://shopee.ph/p-i.56858906.18458882319,,
13,,remedios54,"2023-09-24 07:58:03",5,5,5,5,"Suitability:very good
Performance:very good
Quality:very good",8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/91768441,https://shopee.ph/p-i.56858906.18458882319,,
14,,sumomo0476,"2023-10-20 03:38:41",5,5,5,5,"First time to order this potting mix for my anthuriums. I hope it’s effective in making my plants healthier. It was also well packaged.
https://cf.shopee.vn/file/ph-11134103-7r98r-ln2e6ehfha2n6f
https://cf.shopee.vn/file/ph-11134103-7r98r-ln2e6ehfha2n6f",8-liter,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7r98r-ln2e6ehfha2n6f,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/34950166,https://shopee.ph/p-i.56858906.18458882319,https://cf.shopee.vn/file/ph-11134103-7r98r-ln2e6ehfha2n6f,
15,,georginaenariomerecido,"2023-10-28 04:32:29",5,5,5,5,,8-liter,no,ph,no,,,"Rating Total: 17; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 2 reviews; ****: 15 reviews;  With Context: 5;  With Image: 1;  With Media: 1;  Local Review: 17; ",https://shopee.vn/shop/58005956,https://shopee.ph/p-i.56858906.18458882319,,
