,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,amyllii2,"2023-12-17 03:45:02",5,5,5,5,"Suitability:Very effective product but you get used to it after the first dose
Performance:Very effective product but you get used to it after the first dose

Mahusay na produkto, dahil sa almoranas, ang karaniwang palikuran ay isang pagpapahirap para sa akin. Simula nang kainin ang gummy na ito, napakakinis ng pagdumi
https://cf.shopee.vn/file/ph-11134103-7r98r-lpd6l0yummehe1
https://cf.shopee.vn/file/ph-11134103-7r98u-lpd6l0d7iajtef
https://cf.shopee.vn/file/ph-11134103-7r992-lpd6l0cxk3m7b2
https://cf.shopee.vn/file/ph-11134103-7r98x-lpd6l0cxip1rd2
https://cf.shopee.vn/file/ph-11134103-7r98w-lpd6l0d7iafj4c
https://cf.shopee.vn/file/ph-11134103-7r98r-lpd6l0yummehe1
https://cf.shopee.vn/file/ph-11134103-7r98u-lpd6l0d7iajtef
https://cf.shopee.vn/file/ph-11134103-7r992-lpd6l0cxk3m7b2
https://cf.shopee.vn/file/ph-11134103-7r98x-lpd6l0cxip1rd2
https://cf.shopee.vn/file/ph-11134103-7r98w-lpd6l0d7iafj4c",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98r-lpd6l0yummehe1, https://cf.shopee.vn/file/ph-11134103-7r98u-lpd6l0d7iajtef, https://cf.shopee.vn/file/ph-11134103-7r992-lpd6l0cxk3m7b2, https://cf.shopee.vn/file/ph-11134103-7r98x-lpd6l0cxip1rd2, https://cf.shopee.vn/file/ph-11134103-7r98w-lpd6l0d7iafj4c",,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/775087342,https://shopee.ph/p-i.728816559.22886546644,"https://cf.shopee.vn/file/ph-11134103-7r98r-lpd6l0yummehe1,https://cf.shopee.vn/file/ph-11134103-7r98u-lpd6l0d7iajtef,https://cf.shopee.vn/file/ph-11134103-7r992-lpd6l0cxk3m7b2,https://cf.shopee.vn/file/ph-11134103-7r98x-lpd6l0cxip1rd2,https://cf.shopee.vn/file/ph-11134103-7r98w-lpd6l0d7iafj4c",
2,,fabroaaaaa,"2023-12-17 03:48:28",5,5,5,5,"Performance:Thanks Seller
Suitability:Thanks Seller

Late ratings since I’ve tried the product first. The gummy taste really good and I loved it. So far it’s good for me, I can regularly moved out. Hope this really would give me better results soon. Thanks Seller
https://cf.shopee.vn/file/ph-11134103-7r98o-lpd6peec8xrdfb
https://cf.shopee.vn/file/ph-11134103-7r98s-lpd6pf09fo4p92
https://cf.shopee.vn/file/ph-11134103-7r98z-lpd6peem8j55a0
https://cf.shopee.vn/file/ph-11134103-7r98t-lpd6pee29cdl12
https://cf.shopee.vn/file/ph-11134103-7r98r-lpd6peew84ixd0
https://cf.shopee.vn/file/ph-11134103-7r98o-lpd6peec8xrdfb
https://cf.shopee.vn/file/ph-11134103-7r98s-lpd6pf09fo4p92
https://cf.shopee.vn/file/ph-11134103-7r98z-lpd6peem8j55a0
https://cf.shopee.vn/file/ph-11134103-7r98t-lpd6pee29cdl12
https://cf.shopee.vn/file/ph-11134103-7r98r-lpd6peew84ixd0",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98o-lpd6peec8xrdfb, https://cf.shopee.vn/file/ph-11134103-7r98s-lpd6pf09fo4p92, https://cf.shopee.vn/file/ph-11134103-7r98z-lpd6peem8j55a0, https://cf.shopee.vn/file/ph-11134103-7r98t-lpd6pee29cdl12, https://cf.shopee.vn/file/ph-11134103-7r98r-lpd6peew84ixd0",,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/457265072,https://shopee.ph/p-i.728816559.22886546644,"https://cf.shopee.vn/file/ph-11134103-7r98o-lpd6peec8xrdfb,https://cf.shopee.vn/file/ph-11134103-7r98s-lpd6pf09fo4p92,https://cf.shopee.vn/file/ph-11134103-7r98z-lpd6peem8j55a0,https://cf.shopee.vn/file/ph-11134103-7r98t-lpd6pee29cdl12,https://cf.shopee.vn/file/ph-11134103-7r98r-lpd6peew84ixd0",
3,,corakoko,"2023-12-18 10:00:37",5,5,5,5,"Performance:prevention is better than cure..God bless! ! !
Suitability:prevention is better than cure..God bless! ! !

Mabilis na nagpadala ang nagbebenta.. Natanggap ko ito sa loob ng dalawang araw! Susubukan ko ngayon. I hope this works for me..problema ko ang digestive issues ko..mahirap magkasakit..prevention is better than cure..God bless! ! !
https://cf.shopee.vn/file/ph-11134103-7r990-lpezca7c7ia7d1
https://cf.shopee.vn/file/ph-11134103-7r98u-lpezca7c7ieh83
https://cf.shopee.vn/file/ph-11134103-7r990-lpezca8g5vxl17
https://cf.shopee.vn/file/ph-11134103-7r990-lpezca9k49cfba
https://cf.shopee.vn/file/ph-11134103-7r991-lpezca9u3uq72d
https://cf.shopee.vn/file/ph-11134103-7r990-lpezca7c7ia7d1
https://cf.shopee.vn/file/ph-11134103-7r98u-lpezca7c7ieh83
https://cf.shopee.vn/file/ph-11134103-7r990-lpezca8g5vxl17
https://cf.shopee.vn/file/ph-11134103-7r990-lpezca9k49cfba
https://cf.shopee.vn/file/ph-11134103-7r991-lpezca9u3uq72d",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r990-lpezca7c7ia7d1, https://cf.shopee.vn/file/ph-11134103-7r98u-lpezca7c7ieh83, https://cf.shopee.vn/file/ph-11134103-7r990-lpezca8g5vxl17, https://cf.shopee.vn/file/ph-11134103-7r990-lpezca9k49cfba, https://cf.shopee.vn/file/ph-11134103-7r991-lpezca9u3uq72d",,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/775089421,https://shopee.ph/p-i.728816559.22886546644,"https://cf.shopee.vn/file/ph-11134103-7r990-lpezca7c7ia7d1,https://cf.shopee.vn/file/ph-11134103-7r98u-lpezca7c7ieh83,https://cf.shopee.vn/file/ph-11134103-7r990-lpezca8g5vxl17,https://cf.shopee.vn/file/ph-11134103-7r990-lpezca9k49cfba,https://cf.shopee.vn/file/ph-11134103-7r991-lpezca9u3uq72d",
4,,celestinek_,"2023-12-19 10:55:48",5,5,5,5,"Performance: Thank you seller🫶
Suitability: Thank you seller🫶

Received in good condition although Ang tagal ng delivery. Sana effective siya. Thank you seller🫶
",,no,ph,no,,,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/1040729566,https://shopee.ph/p-i.728816559.22886546644,,
5,,margieposadas257,"2023-12-20 08:55:05",5,5,5,5,,,no,ph,no,,,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/547861859,https://shopee.ph/p-i.728816559.22886546644,,
6,,natashaer2001,"2023-12-25 02:26:31",5,5,5,5,"Very effective to those who're suffering from constipation and to those who're bloated every after meal then di pa rin nakakafeel ng pagbabawas. I suggest not to take it at work kasi pabalik balik ka talaga sa CR.  Goods sya if nasa bahay ka na kasi you can poop in your own comfort.",,no,ph,no,,,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/1040809157,https://shopee.ph/p-i.728816559.22886546644,,
7,,velascoooo_,"2023-12-25 02:29:33",5,5,5,5,"The packaging is great and super safe. It works well for me.Thankyou seller, I will definitely repeat my order.",,no,ph,no,,,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/461932184,https://shopee.ph/p-i.728816559.22886546644,,
8,,attmeeelia,"2023-12-25 02:31:29",5,5,5,5,"1st time trying this, the reason why I bought it is to clean my gut and also lose some weight, hope this helps. BTW, good packaging",,no,ph,no,,,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/798977103,https://shopee.ph/p-i.728816559.22886546644,,
9,,auroraraiz,"2023-12-25 02:32:42",5,5,5,5,"My 3rd order. It's complete, and I am super happy. I will definitely ordering from this shop again. Thankyou so much louvs",,no,ph,no,,,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/798973892,https://shopee.ph/p-i.728816559.22886546644,,
10,,aphrodytee.c,"2023-12-28 03:17:24",5,5,5,5,"thank u so much i like the taste of this gummies  have a good day God bless so yummy and effective also legit 😊💖",,no,ph,no,,,"Rating Total: 25; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 0 reviews; ****: 25 reviews;  With Context: 19;  With Image: 3;  With Media: 3;  Local Review: 25; ",https://shopee.vn/shop/574167308,https://shopee.ph/p-i.728816559.22886546644,,
