,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,iamfaye015,"2021-06-15 11:59:56",5,0,5,0,"Thank you seller💝 first time ko mag-journal para feel ko may kausap ako at nakikinig sakin and I'm glad napadpad ako dito sa shop mo..salamat sa freebies💕💕
https://cf.shopee.vn/file/34d6735fa2dfdb7f58639b44bf3c981f
https://cf.shopee.vn/file/34d6735fa2dfdb7f58639b44bf3c981f",2,no,ph,yes,https://cf.shopee.vn/file/34d6735fa2dfdb7f58639b44bf3c981f,,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/111312849,https://shopee.ph/p-i.336792445.11908040587,https://cf.shopee.vn/file/34d6735fa2dfdb7f58639b44bf3c981f,
2,,r*****a,"2021-07-19 12:04:17",5,0,5,0,,5,no,ph,no,,,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/480848972,https://shopee.ph/p-i.336792445.11908040587,,
3,,thecatshop0909,"2021-10-05 10:14:25",5,0,5,0,"Thank u sobrang happy ako s orders ko! Thank u seller! Highly recommended meron png freebies!!! God bless
https://cf.shopee.vn/file/8b0a0d16704dc7a3e09c564562dc6e34
https://cf.shopee.vn/file/2de3520cd39644097966959d82f10e44
https://cf.shopee.vn/file/8b0a0d16704dc7a3e09c564562dc6e34
https://cf.shopee.vn/file/2de3520cd39644097966959d82f10e44",1,no,ph,yes,"https://cf.shopee.vn/file/8b0a0d16704dc7a3e09c564562dc6e34, https://cf.shopee.vn/file/2de3520cd39644097966959d82f10e44",,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/34851020,https://shopee.ph/p-i.336792445.11908040587,"https://cf.shopee.vn/file/8b0a0d16704dc7a3e09c564562dc6e34,https://cf.shopee.vn/file/2de3520cd39644097966959d82f10e44",
4,,_*****_,"2021-10-06 00:19:52",5,0,5,0,"Thanks a lot, super cute and bilis ng order dumating so far ito pinakamablis highly recommend itong store💕Thanks a lot, super cute and bilis ng order dumating so far ito pinakamablis highly recommend itong store💕Thanks a lot, super cute and bilis ng order dumating so far ito pinakamabilis
https://cf.shopee.vn/file/191b64b70bbe37fe025e6572f528b677
https://cf.shopee.vn/file/191b64b70bbe37fe025e6572f528b677",5,no,ph,yes,https://cf.shopee.vn/file/191b64b70bbe37fe025e6572f528b677,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_b3a9cee2-3549-47d8-8d99-8c72eb91b537_000038.default.mp4,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/545878163,https://shopee.ph/p-i.336792445.11908040587,https://cf.shopee.vn/file/191b64b70bbe37fe025e6572f528b677,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_b3a9cee2-3549-47d8-8d99-8c72eb91b537_000038.default.mp4
5,,andreawulkzbey,"2021-10-06 07:34:00",5,0,5,0,"Order Received! Maganda ang stickers!! Walang kulang and wala naman ding sira or lukot. Ang liit pala nung isa HAHHAHA kala ko A4 siya. CUTE CUTE CUTE CUTE!! Might buy again, maybe next month HAHHAHA.

STAN ENHYPEN FOR CLEAR SKIN♥️♥️♥️😩😩😩😩
https://cf.shopee.vn/file/2c0ccbb83f76a6029efbe19f13b92c3e
https://cf.shopee.vn/file/54ae3949d68ed03aa1dcf59359aec905
https://cf.shopee.vn/file/2c0ccbb83f76a6029efbe19f13b92c3e
https://cf.shopee.vn/file/54ae3949d68ed03aa1dcf59359aec905",5,no,ph,yes,"https://cf.shopee.vn/file/2c0ccbb83f76a6029efbe19f13b92c3e, https://cf.shopee.vn/file/54ae3949d68ed03aa1dcf59359aec905",,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/389012184,https://shopee.ph/p-i.336792445.11908040587,"https://cf.shopee.vn/file/2c0ccbb83f76a6029efbe19f13b92c3e,https://cf.shopee.vn/file/54ae3949d68ed03aa1dcf59359aec905",
6,,abilenemarie,"2021-10-14 08:07:57",5,0,5,0,"Nice washi tapes",6,no,ph,no,,,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/189463586,https://shopee.ph/p-i.336792445.11908040587,,
7,,jamaicacielopiza,"2021-10-15 07:43:25",5,0,5,0,"Ang Ganda sobra",3,no,ph,no,,,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/561761551,https://shopee.ph/p-i.336792445.11908040587,,
8,,jamupay10,"2021-10-16 07:08:17",5,0,5,0,"
https://cf.shopee.vn/file/04a5caf7e00287d252dcce66ec3b0cff
https://cf.shopee.vn/file/f5406a3c406b1f621b302e101eefb7f8
https://cf.shopee.vn/file/5805a205f5317ede0033adda1e50a025
https://cf.shopee.vn/file/04a5caf7e00287d252dcce66ec3b0cff
https://cf.shopee.vn/file/f5406a3c406b1f621b302e101eefb7f8
https://cf.shopee.vn/file/5805a205f5317ede0033adda1e50a025",11,no,ph,yes,"https://cf.shopee.vn/file/04a5caf7e00287d252dcce66ec3b0cff, https://cf.shopee.vn/file/f5406a3c406b1f621b302e101eefb7f8, https://cf.shopee.vn/file/5805a205f5317ede0033adda1e50a025",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_34e35d7d-28de-469b-aaf0-a7071e06da76_000039.default.mp4,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/222096689,https://shopee.ph/p-i.336792445.11908040587,"https://cf.shopee.vn/file/04a5caf7e00287d252dcce66ec3b0cff,https://cf.shopee.vn/file/f5406a3c406b1f621b302e101eefb7f8,https://cf.shopee.vn/file/5805a205f5317ede0033adda1e50a025",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_34e35d7d-28de-469b-aaf0-a7071e06da76_000039.default.mp4
9,,j*****o,"2021-10-20 06:42:02",5,0,5,0,"It took time before it was shipped. I felt like I waited long, tho it only took 5 days, just because I was so excited. Quality doesn’t disappoint and it’s budget friendly. Items are safely packed and I got freebies too. All of them are cute. What you see is what you get. Highly recommended shop 👍🏻
https://cf.shopee.vn/file/44a05d5910f3b83e803626b6f2acfdf0
https://cf.shopee.vn/file/aa4d7da9b8398a40904dec07dbe89a33
https://cf.shopee.vn/file/85c57880d70ddf76c8c7e6c966d4e971
https://cf.shopee.vn/file/53b51aaa66509e5bc4e4941c76a3f94c
https://cf.shopee.vn/file/44a05d5910f3b83e803626b6f2acfdf0
https://cf.shopee.vn/file/aa4d7da9b8398a40904dec07dbe89a33
https://cf.shopee.vn/file/85c57880d70ddf76c8c7e6c966d4e971
https://cf.shopee.vn/file/53b51aaa66509e5bc4e4941c76a3f94c",10,no,ph,yes,"https://cf.shopee.vn/file/44a05d5910f3b83e803626b6f2acfdf0, https://cf.shopee.vn/file/aa4d7da9b8398a40904dec07dbe89a33, https://cf.shopee.vn/file/85c57880d70ddf76c8c7e6c966d4e971, https://cf.shopee.vn/file/53b51aaa66509e5bc4e4941c76a3f94c",,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/42627828,https://shopee.ph/p-i.336792445.11908040587,"https://cf.shopee.vn/file/44a05d5910f3b83e803626b6f2acfdf0,https://cf.shopee.vn/file/aa4d7da9b8398a40904dec07dbe89a33,https://cf.shopee.vn/file/85c57880d70ddf76c8c7e6c966d4e971,https://cf.shopee.vn/file/53b51aaa66509e5bc4e4941c76a3f94c",
10,,arc111809,"2021-10-22 17:55:02",5,0,5,0,"Actually sa Ganda nya ubos agad sakin
https://cf.shopee.vn/file/511f3e0d18ea6c92b402c9a67a3ac085
https://cf.shopee.vn/file/511f3e0d18ea6c92b402c9a67a3ac085",19,no,ph,yes,https://cf.shopee.vn/file/511f3e0d18ea6c92b402c9a67a3ac085,,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/461020814,https://shopee.ph/p-i.336792445.11908040587,https://cf.shopee.vn/file/511f3e0d18ea6c92b402c9a67a3ac085,
11,,g*****n,"2021-10-26 08:48:22",5,0,5,0,"Nagsend si seller ng picture bago ipaship out. Bilis din mapaship.
Tho di ko sya gagamitin pang journal pero ang cute nung washi tape, worth the price. Will definitely buy again if maubusan ulit ako. Thank you.
https://cf.shopee.vn/file/00e98eddf8b6bb17f9ae5e7c6d4cb325
https://cf.shopee.vn/file/00e98eddf8b6bb17f9ae5e7c6d4cb325",1,no,ph,yes,https://cf.shopee.vn/file/00e98eddf8b6bb17f9ae5e7c6d4cb325,https://down-tx-sg.vod.susercontent.com/c3/98934353/103/AmM1muIAcMMe7=IhQwEXjspG.mp4,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/263500092,https://shopee.ph/p-i.336792445.11908040587,https://cf.shopee.vn/file/00e98eddf8b6bb17f9ae5e7c6d4cb325,https://down-tx-sg.vod.susercontent.com/c3/98934353/103/AmM1muIAcMMe7=IhQwEXjspG.mp4
12,,gaeabisenio,"2021-10-30 13:13:37",5,0,5,0,,20,no,ph,no,,,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/29687965,https://shopee.ph/p-i.336792445.11908040587,,
13,,s*****l,"2021-10-31 11:31:38",5,0,5,0,"Kyoti po nya hehe",2,no,ph,no,,,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/516389731,https://shopee.ph/p-i.336792445.11908040587,,
14,,d*****0,"2021-11-04 11:11:48",5,0,5,0,"Ang gaganda! Affordable pa and May freebies. Thank you seller. Will surely order again. Bec scrapbooking is life! 😍😍😍😍😍
https://cf.shopee.vn/file/34ba180bb1d92a8b962e1187004dc447
https://cf.shopee.vn/file/0eb8d3ec622e5da820154ce1d3012b82
https://cf.shopee.vn/file/34ba180bb1d92a8b962e1187004dc447
https://cf.shopee.vn/file/0eb8d3ec622e5da820154ce1d3012b82",10,no,ph,yes,"https://cf.shopee.vn/file/34ba180bb1d92a8b962e1187004dc447, https://cf.shopee.vn/file/0eb8d3ec622e5da820154ce1d3012b82",,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/3288786,https://shopee.ph/p-i.336792445.11908040587,"https://cf.shopee.vn/file/34ba180bb1d92a8b962e1187004dc447,https://cf.shopee.vn/file/0eb8d3ec622e5da820154ce1d3012b82",
15,,a*****3,"2021-11-06 18:27:03",5,0,5,0,,14,no,ph,no,,,"Rating Total: 225; No Stars: 1 reviews; *: 3 reviews; **: 4 reviews; ***: 6 reviews; ****: 211 reviews;  With Context: 62;  With Image: 39;  With Media: 43;  Local Review: 225; ",https://shopee.vn/shop/86547267,https://shopee.ph/p-i.336792445.11908040587,,
