,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,h*****r,"2023-11-06 07:53:01",5,5,5,5,"Quality:excellent
Suitability:Good
Appearance:Excellent

Slight scratches sa arm rest, over all is good",black-upgrade,no,ph,no,,,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/455084597,https://shopee.ph/p-i.813327179.22685066110,,
2,,g*****s,"2023-11-12 04:55:40",5,5,5,5,"Quality:Good for the price
Appearance:May kaunting gas gas which is okay lang
Suitability:Masarap upuan and okay yung gulong

Kakaorder ko lang nung 11.11
Dumating Nov 12
Grabe sulit na sulit
https://cf.shopee.vn/file/ph-11134103-7r98y-lnzaoky5i0t60f
https://cf.shopee.vn/file/ph-11134103-7r98q-lnzaoksvpqw932
https://cf.shopee.vn/file/ph-11134103-7r98y-lnzaoky5i0t60f
https://cf.shopee.vn/file/ph-11134103-7r98q-lnzaoksvpqw932",black,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98y-lnzaoky5i0t60f, https://cf.shopee.vn/file/ph-11134103-7r98q-lnzaoksvpqw932",,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/281998512,https://shopee.ph/p-i.813327179.22685066110,"https://cf.shopee.vn/file/ph-11134103-7r98y-lnzaoky5i0t60f,https://cf.shopee.vn/file/ph-11134103-7r98q-lnzaoksvpqw932",
3,,sun9nrq0yv,"2023-11-12 23:39:20",4,5,4,5,"Appearance:10/10
Suitability:10:10
Quality:9/10

Okay naman item, the prob is hirap iassemble ung sandalan dko nakabit ung isang screw sa tigas ay dis aligned nung sa left down part nya yown lang overall okay naman",black-upgrade,no,ph,no,,,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/344009426,https://shopee.ph/p-i.813327179.22685066110,,
4,,m*****s,"2023-11-13 15:39:24",4,4,4,4,"Suitability:Not advisable for heavy person. Slight unstable. Recommended for average weigt.
Quality:Good for it's price
Appearance:Good

The seller was able to ship item immediately. Ordering it 12mn of 11.11 then I was able to received it next day (early morning). I received the item with complete parts.
https://cf.shopee.vn/file/ph-11134103-7r98t-lo1cq16b6l498d
https://cf.shopee.vn/file/ph-11134103-7r98u-lo1cq16b7zopbf
https://cf.shopee.vn/file/ph-11134103-7r98v-lo1cq16b9e95e4
https://cf.shopee.vn/file/ph-11134103-7r98w-lo1cq16bastl56
https://cf.shopee.vn/file/ph-11134103-7r98t-lo1cq16b6l498d
https://cf.shopee.vn/file/ph-11134103-7r98u-lo1cq16b7zopbf
https://cf.shopee.vn/file/ph-11134103-7r98v-lo1cq16b9e95e4
https://cf.shopee.vn/file/ph-11134103-7r98w-lo1cq16bastl56",black-upgrade,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98t-lo1cq16b6l498d, https://cf.shopee.vn/file/ph-11134103-7r98u-lo1cq16b7zopbf, https://cf.shopee.vn/file/ph-11134103-7r98v-lo1cq16b9e95e4, https://cf.shopee.vn/file/ph-11134103-7r98w-lo1cq16bastl56",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke15-lo1d2fk7y7iy91.default.mp4,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/437611325,https://shopee.ph/p-i.813327179.22685066110,"https://cf.shopee.vn/file/ph-11134103-7r98t-lo1cq16b6l498d,https://cf.shopee.vn/file/ph-11134103-7r98u-lo1cq16b7zopbf,https://cf.shopee.vn/file/ph-11134103-7r98v-lo1cq16b9e95e4,https://cf.shopee.vn/file/ph-11134103-7r98w-lo1cq16bastl56",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke15-lo1d2fk7y7iy91.default.mp4
5,,barrajoana,"2023-11-14 04:42:04",4,4,4,4,"Goods naman po yung product. Madami nga lang pong gasgas.
https://cf.shopee.vn/file/ph-11134103-7r98o-lo24n1nxgfx606
https://cf.shopee.vn/file/ph-11134103-7r98o-lo24n1nxhuhm0e
https://cf.shopee.vn/file/ph-11134103-7r98v-lo24n1nxj92283
https://cf.shopee.vn/file/ph-11134103-7r98w-lo24n1nxknmi0d
https://cf.shopee.vn/file/ph-11134103-7r991-lo24n1nxm26ydb
https://cf.shopee.vn/file/ph-11134103-7r98o-lo24n1nxgfx606
https://cf.shopee.vn/file/ph-11134103-7r98o-lo24n1nxhuhm0e
https://cf.shopee.vn/file/ph-11134103-7r98v-lo24n1nxj92283
https://cf.shopee.vn/file/ph-11134103-7r98w-lo24n1nxknmi0d
https://cf.shopee.vn/file/ph-11134103-7r991-lo24n1nxm26ydb",black-upgrade,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98o-lo24n1nxgfx606, https://cf.shopee.vn/file/ph-11134103-7r98o-lo24n1nxhuhm0e, https://cf.shopee.vn/file/ph-11134103-7r98v-lo24n1nxj92283, https://cf.shopee.vn/file/ph-11134103-7r98w-lo24n1nxknmi0d, https://cf.shopee.vn/file/ph-11134103-7r991-lo24n1nxm26ydb",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke18-lo2504ni9evu12.default.mp4,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/51384785,https://shopee.ph/p-i.813327179.22685066110,"https://cf.shopee.vn/file/ph-11134103-7r98o-lo24n1nxgfx606,https://cf.shopee.vn/file/ph-11134103-7r98o-lo24n1nxhuhm0e,https://cf.shopee.vn/file/ph-11134103-7r98v-lo24n1nxj92283,https://cf.shopee.vn/file/ph-11134103-7r98w-lo24n1nxknmi0d,https://cf.shopee.vn/file/ph-11134103-7r991-lo24n1nxm26ydb",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke18-lo2504ni9evu12.default.mp4
6,,j*****n,"2023-11-16 02:07:27",3,5,3,3,"Appearance:gud
Suitability:online game/works
Quality:ok lang

Dami gasgas sa likod nya. Mabilis ung dating Ng chair kaso Ng Dami xa gasgas, easy 
to assemble lang xa. SI rider mabilis mag deliver.. I think pang 60kilos lang xa at wag lagi TaaS baba ung adjustment nya pa r agad masira.
https://cf.shopee.vn/file/ph-11134103-7r98q-lo4u02cx91qjd6
https://cf.shopee.vn/file/ph-11134103-7r98o-lo4u02cxagazaa
https://cf.shopee.vn/file/ph-11134103-7r98o-lo4u02cxbuvf66
https://cf.shopee.vn/file/ph-11134103-7r98q-lo4u02cx91qjd6
https://cf.shopee.vn/file/ph-11134103-7r98o-lo4u02cxagazaa
https://cf.shopee.vn/file/ph-11134103-7r98o-lo4u02cxbuvf66",black-upgrade,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98q-lo4u02cx91qjd6, https://cf.shopee.vn/file/ph-11134103-7r98o-lo4u02cxagazaa, https://cf.shopee.vn/file/ph-11134103-7r98o-lo4u02cxbuvf66",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke17-lo4u1gpbkti204.default.mp4,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/224364582,https://shopee.ph/p-i.813327179.22685066110,"https://cf.shopee.vn/file/ph-11134103-7r98q-lo4u02cx91qjd6,https://cf.shopee.vn/file/ph-11134103-7r98o-lo4u02cxagazaa,https://cf.shopee.vn/file/ph-11134103-7r98o-lo4u02cxbuvf66",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke17-lo4u1gpbkti204.default.mp4
7,,eamesom,"2023-11-16 07:18:47",5,5,5,5,"Product seem sturdy. I hope it'll last. Satisfied with my order. Thanks!",black,no,ph,no,,,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/833170208,https://shopee.ph/p-i.813327179.22685066110,,
8,,elsiereboltan,"2023-11-16 10:55:13",1,1,1,1,"Seller. Yung ibang parts po ng office chair ay kulang. I send message to you many times Please do to make action for this concern. Don't regret all my concern about this. Seller you can talk to me and this is your responsibility to change this items. Thank you
https://cf.shopee.vn/file/ph-11134103-7r98p-lo5d1x4xad0a67
https://cf.shopee.vn/file/ph-11134103-7r992-lo5d1x1bfn6337
https://cf.shopee.vn/file/ph-11134103-7r98y-lo5d1x579yiz67
https://cf.shopee.vn/file/ph-11134103-7r98q-lo5d1yk978y386
https://cf.shopee.vn/file/ph-11134103-7r98p-lo5d1x4xad0a67
https://cf.shopee.vn/file/ph-11134103-7r992-lo5d1x1bfn6337
https://cf.shopee.vn/file/ph-11134103-7r98y-lo5d1x579yiz67
https://cf.shopee.vn/file/ph-11134103-7r98q-lo5d1yk978y386",black-upgrade,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98p-lo5d1x4xad0a67, https://cf.shopee.vn/file/ph-11134103-7r992-lo5d1x1bfn6337, https://cf.shopee.vn/file/ph-11134103-7r98y-lo5d1x579yiz67, https://cf.shopee.vn/file/ph-11134103-7r98q-lo5d1yk978y386",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke17-lo6rodskyo0b8d.default.mp4,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/359935297,https://shopee.ph/p-i.813327179.22685066110,"https://cf.shopee.vn/file/ph-11134103-7r98p-lo5d1x4xad0a67,https://cf.shopee.vn/file/ph-11134103-7r992-lo5d1x1bfn6337,https://cf.shopee.vn/file/ph-11134103-7r98y-lo5d1x579yiz67,https://cf.shopee.vn/file/ph-11134103-7r98q-lo5d1yk978y386",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke17-lo6rodskyo0b8d.default.mp4
9,,morillaneda24,"2023-11-17 07:11:59",5,5,5,5,"Suitability:10
Quality:9/10
Appearance:Black

the product is comfy. but not recommended sa mga malalaki kse it will break in no time",black,no,ph,no,,,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/240843796,https://shopee.ph/p-i.813327179.22685066110,,
10,,a*****9,"2023-11-19 02:58:20",5,5,5,5,"Quality:good
Suitability:good
Appearance:good

Easy to assemble, medyo struggle lang sa screws sa arm rest and sa mismong seat lalo na pag mag-isa ka lang sa pag assemble 🫢
Worth the money, do not expect high quality for this price.
Comfortable parin naman.
https://cf.shopee.vn/file/ph-11134103-7r990-lo960t8jto23a3
https://cf.shopee.vn/file/ph-11134103-7r990-lo960t8jto23a3",black,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7r990-lo960t8jto23a3,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke14-lo9622b5v66jc1.default.mp4,"Rating Total: 501; No Stars: 39 reviews; *: 12 reviews; **: 31 reviews; ***: 76 reviews; ****: 343 reviews;  With Context: 168;  With Image: 97;  With Media: 102;  Local Review: 501; ",https://shopee.vn/shop/152156100,https://shopee.ph/p-i.813327179.22685066110,https://cf.shopee.vn/file/ph-11134103-7r990-lo960t8jto23a3,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke14-lo9622b5v66jc1.default.mp4
